epoch;acc;loss;val_acc;val_loss
1;0.4055;3.2505;0.3400;2.9386
2;0.4115;2.9009;0.4489;2.6708
3;0.4383;2.5182;0.3622;2.4946
4;0.4448;2.2983;0.3844;2.4104
5;0.4585;2.0794;0.4133;1.9930
6;0.4678;2.0362;0.4822;2.3142
7;0.4842;1.8467;0.4689;1.8570
8;0.5060;1.7173;0.4844;1.8472
9;0.5098;1.6705;0.4422;2.0212
10;0.5033;1.6786;0.4044;2.0049
11;0.5109;1.5983;0.5000;2.3221
12;0.5175;1.6219;0.4200;1.8502
13;0.5404;1.4004;0.4667;1.5036
14;0.5601;1.2413;0.4244;1.5620
15;0.5530;1.3168;0.4400;1.4761
16;0.5880;1.1464;0.4333;1.5183
17;0.5913;1.1183;0.5022;1.3255
18;0.5973;1.1026;0.5311;1.3407
19;0.6175;1.0020;0.5022;1.3369
20;0.6208;0.9859;0.5467;1.3373
21;0.6251;0.9844;0.5511;1.3691
22;0.6443;0.9247;0.5711;1.3034
23;0.6672;0.8569;0.5622;1.1906
24;0.6765;0.8199;0.5400;1.2177
25;0.6672;0.8357;0.5600;1.5804
26;0.6689;0.8070;0.5689;1.1685
27;0.6951;0.7585;0.5844;1.2806
28;0.7033;0.7298;0.5867;1.1094
29;0.7148;0.7405;0.5889;1.2336
30;0.7093;0.7223;0.5311;1.2097
31;0.7301;0.6712;0.6178;1.1043
32;0.7415;0.6337;0.5889;1.1800
33;0.7361;0.6429;0.6133;1.0810
34;0.7656;0.6018;0.5378;1.2636
35;0.7689;0.5905;0.5800;1.0842
36;0.7749;0.5839;0.5600;1.1310
37;0.7842;0.5669;0.6378;1.0319
38;0.8022;0.5327;0.6222;1.0442
39;0.7956;0.5282;0.5844;1.0755
40;0.7940;0.5257;0.6244;1.0149
41;0.7956;0.5211;0.6378;0.9894
42;0.8082;0.4997;0.5778;1.1496
43;0.8169;0.4924;0.6422;1.0149
44;0.8350;0.4637;0.6489;0.9851
45;0.8301;0.4530;0.6467;1.0017
46;0.8202;0.4731;0.6333;0.9415
47;0.8437;0.4399;0.6467;1.0102
48;0.8481;0.4356;0.6467;0.9335
49;0.8552;0.4206;0.6511;0.9426
50;0.8317;0.4501;0.6289;1.0083
51;0.8716;0.4007;0.6378;0.9665
52;0.8656;0.4048;0.6556;0.9265
53;0.8716;0.3929;0.6067;1.0503
54;0.8694;0.3922;0.6711;0.9292
55;0.8667;0.3926;0.6578;0.9278
56;0.8842;0.3735;0.6644;0.8895
57;0.8918;0.3605;0.6867;0.8949
58;0.8918;0.3552;0.6644;0.9750
59;0.8852;0.3552;0.6378;0.9415
60;0.8929;0.3415;0.6822;0.9040
