epoch;acc;loss;val_acc;val_loss
1;0.4055;3.2505;0.3400;2.9386
2;0.4115;2.9009;0.4489;2.6708
3;0.4383;2.5182;0.3622;2.4946
4;0.4448;2.2983;0.3844;2.4104
5;0.4585;2.0794;0.4133;1.9930
6;0.4678;2.0362;0.4822;2.3142
7;0.4842;1.8467;0.4689;1.8570
8;0.5060;1.7173;0.4844;1.8472
9;0.5098;1.6705;0.4422;2.0212
10;0.5033;1.6786;0.4044;2.0049
11;0.5109;1.5983;0.5000;2.3221
12;0.5175;1.6219;0.4200;1.8502
13;0.5404;1.4004;0.4667;1.5036
14;0.5601;1.2413;0.4244;1.5620
15;0.5530;1.3168;0.4400;1.4761
16;0.5880;1.1464;0.4333;1.5183
17;0.5913;1.1183;0.5022;1.3255
18;0.5973;1.1026;0.5311;1.3407
19;0.6175;1.0020;0.5022;1.3369
20;0.6208;0.9859;0.5467;1.3373
21;0.6251;0.9844;0.5511;1.3691
22;0.6443;0.9247;0.5711;1.3034
23;0.6672;0.8569;0.5622;1.1906
24;0.6765;0.8199;0.5400;1.2177
25;0.6672;0.8357;0.5600;1.5804
26;0.6689;0.8070;0.5689;1.1685
27;0.6951;0.7585;0.5844;1.2806
28;0.7033;0.7298;0.5867;1.1094
29;0.7148;0.7405;0.5889;1.2336
30;0.7093;0.7223;0.5311;1.2097
31;0.7301;0.6712;0.6178;1.1043
32;0.7415;0.6337;0.5889;1.1800
33;0.7361;0.6429;0.6133;1.0810
34;0.7656;0.6018;0.5378;1.2636
35;0.7689;0.5905;0.5800;1.0842
36;0.7749;0.5839;0.5600;1.1310
37;0.7842;0.5669;0.6378;1.0319
38;0.8022;0.5327;0.6222;1.0442
39;0.7956;0.5282;0.5844;1.0755
40;0.7940;0.5257;0.6244;1.0149
41;0.7956;0.5211;0.6378;0.9894
42;0.8082;0.4997;0.5778;1.1496
43;0.8169;0.4924;0.6422;1.0149
44;0.8350;0.4637;0.6489;0.9851
45;0.8301;0.4530;0.6467;1.0017
46;0.8202;0.4731;0.6333;0.9415
47;0.8437;0.4399;0.6467;1.0102
48;0.8481;0.4356;0.6467;0.9335
49;0.8552;0.4206;0.6511;0.9426
50;0.8317;0.4501;0.6289;1.0083
51;0.8716;0.4007;0.6378;0.9665
52;0.8656;0.4048;0.6556;0.9265
53;0.8716;0.3929;0.6067;1.0503
54;0.8694;0.3922;0.6711;0.9292
55;0.8667;0.3926;0.6578;0.9278
56;0.8842;0.3735;0.6644;0.8895
57;0.8918;0.3605;0.6867;0.8949
58;0.8918;0.3552;0.6644;0.9750
59;0.8852;0.3552;0.6378;0.9415
60;0.8929;0.3415;0.6822;0.9040
61;0.8994;0.3449;0.6688;0.8872
62;0.9060;0.3258;0.6666;0.9839
63;0.9010;0.3266;0.6800;0.8625
64;0.9103;0.3181;0.6866;0.8912
65;0.9180;0.3075;0.6866;0.8603
66;0.9224;0.3021;0.6955;0.8591
67;0.9174;0.3004;0.6911;0.8654
68;0.9196;0.2968;0.6911;0.8639
69;0.9234;0.2927;0.6933;0.8511
70;0.9300;0.2865;0.6911;0.8608
71;0.9202;0.2906;0.7088;0.8590
72;0.9344;0.2734;0.7088;0.8527
73;0.9295;0.2734;0.6777;0.8587
74;0.9333;0.2714;0.6844;0.8442
75;0.9398;0.2676;0.6822;0.8693
76;0.9360;0.2624;0.6822;0.8779
77;0.9262;0.2728;0.7222;0.8012
78;0.9409;0.2556;0.7088;0.8062
79;0.9404;0.2565;0.7222;0.8384
80;0.9442;0.2514;0.6955;0.8272
81;0.9464;0.2468;0.7200;0.7968
82;0.9431;0.2497;0.7311;0.7931
83;0.9442;0.2508;0.7133;0.8476
84;0.9453;0.2390;0.7377;0.7881
85;0.9464;0.2393;0.7244;0.7780
86;0.9459;0.2423;0.7266;0.8031
87;0.9491;0.2282;0.7266;0.8311
88;0.9540;0.2250;0.7266;0.7831
89;0.9546;0.2248;0.7133;0.8089
90;0.9535;0.2226;0.7244;0.7868
91;0.9551;0.2198;0.7133;0.7900
92;0.9524;0.2172;0.7355;0.7927
93;0.9546;0.2153;0.7355;0.7945
94;0.9546;0.2115;0.7444;0.7795
95;0.9590;0.2096;0.7377;0.7602
96;0.9573;0.2113;0.7288;0.7668
97;0.9573;0.2059;0.7444;0.7797
98;0.9601;0.2069;0.7488;0.7544
99;0.9590;0.2031;0.7511;0.7564
100;0.9606;0.2029;0.7177;0.8018
101;0.9622;0.2024;0.7422;0.8189
102;0.9628;0.1990;0.7444;0.7905
103;0.9622;0.1968;0.7533;0.7424
104;0.9573;0.1993;0.7466;0.7424
105;0.9633;0.1930;0.7333;0.7727
106;0.9639;0.1893;0.7355;0.7717
107;0.9655;0.1891;0.7400;0.7781
108;0.9617;0.1899;0.7355;0.7574
109;0.9655;0.1843;0.7311;0.7646
110;0.9655;0.1834;0.7577;0.7366
